uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,8,8,slither_0_11_3_solc_version,solc-version,"Version constraint ^0.8.20 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html)
	- VerbatimInvalidDeduplication
	- FullInlinerNonExpressionSplitArgumentEvaluationOrder
	- MissingSideEffectsOnSelectorAccess.
It is used by:
	- ^0.8.20 (../sb/Consorcio_F.sol#8)
"
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,8,8,solhint_6_0_0_compiler_version,compiler-version,Compiler version ^0.8.20 does not satisfy the ^0.8.24 semver requirement
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,8,8,smartcheck_SOLIDITY_PRAGMAS_VERSION,SOLIDITY_PRAGMAS_VERSION,"SOLIDITY_PRAGMAS_VERSION
Severity: 1"
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,14,14,smartcheck_SOLIDITY_LOCKED_MONEY,SOLIDITY_LOCKED_MONEY,"SOLIDITY_LOCKED_MONEY
Severity: 3"
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,47,47,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in variable 'currentId'
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,54,54,solhint_6_0_0_gas_strict_inequalities,gas-strict-inequalities,GC: Non strict inequality found. Try converting to a strict one
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,54,54,solhint_6_0_0_gas_custom_errors,gas-custom-errors,GC: Use Custom Errors instead of require statements
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,54,54,oyente_060ca34_Integer_Underflow,Integer Underflow,Integer Underflow
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,54,54,semgrep_1_131_0_1_2_1_use_multiple_require,use-multiple-require,"Using multiple require statements is cheaper than using && multiple check combinations.  There are more advantages, such as easier to read code and better coverage reports."
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,54,54,semgrep_1_131_0_1_2_1_use_custom_error_not_require,use-custom-error-not-require,Consider using custom errors as they are more gas efficient while allowing developers  to describe the error in detail using NatSpec.
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,59,59,solhint_6_0_0_gas_custom_errors,gas-custom-errors,GC: Use Custom Errors instead of require statements
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,59,59,semgrep_1_131_0_1_2_1_use_custom_error_not_require,use-custom-error-not-require,Consider using custom errors as they are more gas efficient while allowing developers  to describe the error in detail using NatSpec.
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,68,68,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for function 'createPool'. Expected: [targetGood, goodValue, minParticipants, installments], Found: []"
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,68,68,solhint_6_0_0_use_natspec,use-natspec,Missing @return tag in function 'createPool'
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,68,68,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @return count for function 'createPool'. Expected: 1, Found: 0"
/home/ryan/Documents/LLM/Code/ChatGPT/Consorcio_F.sol,68,68,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in function 'createPool'
