uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,252,345,slither_0_11_3_weak_prng,weak-prng,"FinancialPoolManager.payInstallment(uint256) (../sb/Consorcio_F.sol#252-345) uses a weak PRNG: ""randomIndex = uint256(keccak256(bytes)(abi.encodePacked(block.timestamp,block.prevrandao,msg.sender,p.balance))) % count (../sb/Consorcio_F.sol#313-322)"" 
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,252,345,slither_0_11_3_reentrancy_eth,reentrancy-eth,"Reentrancy in FinancialPoolManager.payInstallment(uint256) (../sb/Consorcio_F.sol#252-345):
	External calls:
	- (success,None) = address(winner).call{value: p.goodValue}() (../sb/Consorcio_F.sol#335)
	State variables written after the call(s):
	- p.status = STATUS_FINISHED (../sb/Consorcio_F.sol#340)
	FinancialPoolManager.pools (../sb/Consorcio_F.sol#68) can be used in cross function reentrancies:
	- FinancialPoolManager.activatePool(uint256) (../sb/Consorcio_F.sol#157-169)
	- FinancialPoolManager.createPool(string,uint256,uint256,uint256) (../sb/Consorcio_F.sol#128-151)
	- FinancialPoolManager.deletePool(uint256) (../sb/Consorcio_F.sol#175-184)
	- FinancialPoolManager.getPool(uint256) (../sb/Consorcio_F.sol#361-388)
	- FinancialPoolManager.leavePool(uint256) (../sb/Consorcio_F.sol#216-246)
	- FinancialPoolManager.participateInPool(uint256) (../sb/Consorcio_F.sol#190-210)
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,252,345,slither_0_11_3_incorrect_equality,incorrect-equality,"FinancialPoolManager.payInstallment(uint256) (../sb/Consorcio_F.sol#252-345) uses a dangerous strict equality:
	- senderInfo.payments == duePayments && ! senderInfo.received (../sb/Consorcio_F.sol#287)
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,223,223,slither_0_11_3_uninitialized_local,uninitialized-local,"FinancialPoolManager.leavePool(uint256).index (../sb/Consorcio_F.sol#223) is a local variable never initialized
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,324,324,slither_0_11_3_missing_zero_check,missing-zero-check,"FinancialPoolManager.payInstallment(uint256).winner (../sb/Consorcio_F.sol#324) lacks a zero-check on :
		- (success,None) = address(winner).call{value: p.goodValue}() (../sb/Consorcio_F.sol#335)
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,252,345,slither_0_11_3_timestamp,timestamp,"FinancialPoolManager.payInstallment(uint256) (../sb/Consorcio_F.sol#252-345) uses timestamp for comparisons
	Dangerous comparisons:
	- senderInfo.payments >= duePayments (../sb/Consorcio_F.sol#277)
	- senderInfo.payments == duePayments && ! senderInfo.received (../sb/Consorcio_F.sol#287)
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,252,345,slither_0_11_3_cyclomatic_complexity,cyclomatic-complexity,"FinancialPoolManager.payInstallment(uint256) (../sb/Consorcio_F.sol#252-345) has a high cyclomatic complexity (15).
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,8,8,slither_0_11_3_solc_version,solc-version,"Version constraint ^0.8.20 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html)
	- VerbatimInvalidDeduplication
	- FullInlinerNonExpressionSplitArgumentEvaluationOrder
	- MissingSideEffectsOnSelectorAccess.
It is used by:
	- ^0.8.20 (../sb/Consorcio_F.sol#8)
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,252,345,slither_0_11_3_low_level_calls,low-level-calls,"Low level call in FinancialPoolManager.payInstallment(uint256) (../sb/Consorcio_F.sol#252-345):
	- (success,None) = address(winner).call{value: p.goodValue}() (../sb/Consorcio_F.sol#335)
"
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,335,335,oyente_060ca34_Callstack_Depth_Attack_Vulnerability,Callstack Depth Attack Vulnerability,Callstack Depth Attack Vulnerability
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,376,376,oyente_060ca34_Integer_Overflow,Integer Overflow,Integer Overflow
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,168,168,oyente_060ca34_Integer_Underflow,Integer Underflow,Integer Underflow
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,8,8,solhint_6_0_0_one_contract_per_file,one-contract-per-file,Found more than One contract per file. 2 contracts found!
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,8,8,solhint_6_0_0_compiler_version,compiler-version,Compiler version ^0.8.20 does not satisfy the ^0.8.24 semver requirement
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,18,18,solhint_6_0_0_use_natspec,use-natspec,Missing @title tag in contract 'ReentrancyGuard'
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,18,18,solhint_6_0_0_use_natspec,use-natspec,Missing @author tag in contract 'ReentrancyGuard'
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,18,18,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in contract 'ReentrancyGuard'
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,24,24,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in function '<anonymous>'
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,24,24,solhint_6_0_0_func_visibility,func-visibility,Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,29,29,solhint_6_0_0_gas_custom_errors,gas-custom-errors,GC: Use Custom Errors instead of require statements
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,36,36,solhint_6_0_0_use_natspec,use-natspec,Missing @title tag in contract 'FinancialPoolManager'
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,36,36,solhint_6_0_0_use_natspec,use-natspec,Missing @author tag in contract 'FinancialPoolManager'
/home/ryan/Documents/LLM/Code/Gemini/Consorcio_F.sol,36,36,solhint_6_0_0_use_natspec,use-natspec,Missing @notice tag in contract 'FinancialPoolManager'
