uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4655,4655,slither_0_11_3_solc_version,solc-version,"Version constraint ^0.8.0 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html)
	- FullInlinerNonExpressionSplitArgumentEvaluationOrder
	- MissingSideEffectsOnSelectorAccess
	- AbiReencodingHeadOverflowWithStaticArrayCleanup
	- DirtyBytesArrayToStorage
	- DataLocationChangeInInternalOverride
	- NestedCalldataArrayAbiReencodingSizeValidation
	- SignedImmutables
	- ABIDecodeTwoDimensionalArrayMemory
	- KeccakCaching.
It is used by:
	- ^0.8.0 (../sb/Cartorio_F.sol#4655)
"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4655,4655,smartcheck_SOLIDITY_PRAGMAS_VERSION,SOLIDITY_PRAGMAS_VERSION,"SOLIDITY_PRAGMAS_VERSION
Severity: 1"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4664,4664,smartcheck_SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA,"SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
Severity: 1"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4682,4686,slither_0_11_3_assembly,assembly,"RealEstateNotary._getCartorioStorage() (../sb/Cartorio_F.sol#4682-4686) uses assembly
	- INLINE ASM (../sb/Cartorio_F.sol#4683-4685)
"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4682,4682,smartcheck_SOLIDITY_SHOULD_NOT_BE_PURE,SOLIDITY_SHOULD_NOT_BE_PURE,"SOLIDITY_SHOULD_NOT_BE_PURE
Severity: 1"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4682,4682,smartcheck_SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN,"SOLIDITY_FUNCTIONS_RETURNS_TYPE_AND_NO_RETURN
Severity: 1"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4683,4683,smartcheck_SOLIDITY_USING_INLINE_ASSEMBLY,SOLIDITY_USING_INLINE_ASSEMBLY,"SOLIDITY_USING_INLINE_ASSEMBLY
Severity: 1"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4710,4716,slither_0_11_3_reentrancy_events,reentrancy-events,"Reentrancy in RealEstateNotary.safeMint(address,string) (../sb/Cartorio_F.sol#4710-4716):
	External calls:
	- _safeMint(to,tokenId) (../sb/Cartorio_F.sol#4713)
		- ERC721Utils.checkOnERC721Received(_msgSender(),address(0),to,tokenId,data) (../sb/Cartorio_F.sol#3952)
		- retval = IERC721Receiver(to).onERC721Received(operator,from,tokenId,data) (../sb/Cartorio_F.sol#1077-1091)
	Event emitted after the call(s):
	- MetadataUpdate(tokenId) (../sb/Cartorio_F.sol#4647)
		- _setTokenURI(tokenId,uri) (../sb/Cartorio_F.sol#4714)
"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4710,4716,slither_0_11_3_reentrancy_benign,reentrancy-benign,"Reentrancy in RealEstateNotary.safeMint(address,string) (../sb/Cartorio_F.sol#4710-4716):
	External calls:
	- _safeMint(to,tokenId) (../sb/Cartorio_F.sol#4713)
		- ERC721Utils.checkOnERC721Received(_msgSender(),address(0),to,tokenId,data) (../sb/Cartorio_F.sol#3952)
		- retval = IERC721Receiver(to).onERC721Received(operator,from,tokenId,data) (../sb/Cartorio_F.sol#1077-1091)
	State variables written after the call(s):
	- _setTokenURI(tokenId,uri) (../sb/Cartorio_F.sol#4714)
		- $ = ERC721URIStorageStorageLocation (../sb/Cartorio_F.sol#4605)
"
/home/ryan/Documents/LLM/Code/LeChat/Cartorio_F.sol,4722,4724,slither_0_11_3_dead_code,dead-code,"RealEstateNotary._increaseBalance(address,uint128) (../sb/Cartorio_F.sol#4722-4724) is never used and should be removed
"
