uri,startLine,endLine,id,name,text
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,8,8,slither_0_11_3_solc_version,solc-version,"Version constraint ^0.8.20 contains known severe issues (https://solidity.readthedocs.io/en/latest/bugs.html)
	- VerbatimInvalidDeduplication
	- FullInlinerNonExpressionSplitArgumentEvaluationOrder
	- MissingSideEffectsOnSelectorAccess.
It is used by:
	- ^0.8.20 (../sb/Wallet_F.sol#8)
"
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,8,8,solhint_6_0_0_one_contract_per_file,one-contract-per-file,Found more than One contract per file. 3 contracts found!
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,8,8,solhint_6_0_0_compiler_version,compiler-version,Compiler version ^0.8.20 does not satisfy the ^0.8.24 semver requirement
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,8,8,smartcheck_SOLIDITY_PRAGMAS_VERSION,SOLIDITY_PRAGMAS_VERSION,"SOLIDITY_PRAGMAS_VERSION
Severity: 1"
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,15,15,solhint_6_0_0_use_natspec,use-natspec,Missing @author tag in contract 'Oracle'
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,24,24,oyente_060ca34_Integer_Overflow,Integer Overflow,Integer Overflow
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,30,30,oyente_060ca34_Integer_Underflow,Integer Underflow,Integer Underflow
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,35,35,slither_0_11_3_immutable_states,immutable-states,"Oracle.authorizedWallet (../sb/Wallet_F.sol#35) should be immutable 
"
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,59,59,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for event 'RateRequested'. Expected: [requestId, url, currency], Found: []"
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,59,59,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in event 'RateRequested'
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,62,62,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for event 'RateAnswered'. Expected: [requestId, oracle, rate], Found: []"
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,62,62,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in event 'RateAnswered'
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,62,62,solhint_6_0_0_gas_indexed_events,gas-indexed-events,GC: [rate] on Event [RateAnswered] could be Indexed
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,65,65,solhint_6_0_0_gas_indexed_events,gas-indexed-events,GC: [rate] on Event [RateFinalized] could be Indexed
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,65,65,solhint_6_0_0_use_natspec,use-natspec,Missing @param tag in event 'RateFinalized'
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,65,65,solhint_6_0_0_use_natspec,use-natspec,"Mismatch in @param names for event 'RateFinalized'. Expected: [currency, rate, timestamp], Found: []"
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,65,65,solhint_6_0_0_gas_indexed_events,gas-indexed-events,GC: [timestamp] on Event [RateFinalized] could be Indexed
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,71,71,solhint_6_0_0_func_visibility,func-visibility,Explicitly mark visibility in function (Set ignoreConstructors to true if using solidity >=0.7.0)
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,71,71,smartcheck_SOLIDITY_VISIBILITY,SOLIDITY_VISIBILITY,"SOLIDITY_VISIBILITY
Severity: 1"
/home/ryan/Documents/LLM/Code/Claude/Wallet_F.sol,71,71,semgrep_1_131_0_1_2_1_non_payable_constructor,non-payable-constructor,Consider making costructor payable to save gas.
